      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.819      295     (    0    0    0
    0:00.861      310     p    0    0    0
    0:00.917      330     )    0    0    0
    0:00.972      350     (    0    0    1
    0:01.028      370     N    0    0    0
    0:01.069      385     )    0    0    1
    0:01.219      439     (    0    0    2
    0:01.300      468     t    0    0    4
    0:01.433      516     t    0    0    4
    0:01.489      536     )    0    0    2
    0:01.631      587     (    0    0    0
    0:01.678      604     p    0    0    0
    0:01.744      628     )    0    0    0
    0:01.786      643     (    0    0    1
    0:01.842      663     N    0    0    0
    0:01.861      670     )    0    0    1
    0:02.106      758     (    0    0    2
    0:02.172      782     t    0    0    0
    0:02.272      818     )    0    0    2
    0:02.403      865     (    0    0    0
    0:02.456      884     p    0    0    0
    0:02.519      907     )    0    0    0
    0:02.567      924     (    0    0    1
    0:02.631      947     N    0    0    0
    0:02.664      959     )    0    0    1
    0:02.894     1042     (    0    0    2
    0:02.953     1063     t    0    0    0
    0:03.086     1111     )    0    0    2
    0:03.183     1146     (    0    0    0
    0:03.242     1167     p    0    0    0
    0:03.308     1191     )    0    0    0
    0:03.369     1213     (    0    0    1
    0:03.419     1231     N    0    0    0
    0:03.439     1238     )    0    0    1
    0:03.628     1306     (    0    0    2
    0:03.669     1321     t    0    0    4
    0:03.792     1365     t    0    0    4
    0:03.839     1382     )    0    0    2
    0:03.978     1432     (    0    0    0
    0:04.042     1455     p    0    0    0
    0:04.097     1475     )    0    0    0
    0:04.153     1495     (    0    0    1
    0:04.208     1515     N    0    0    0
    0:04.244     1528     )    0    0    1
    0:04.431     1595     (    0    0    2
    0:04.475     1611     t    0    0    4
    0:04.581     1649     t    0    0    4
    0:04.656     1676     )    0    0    2
    0:04.800     1728     (    0    0    0
    0:04.850     1746     p    0    0    0
    0:04.911     1768     )    0    0    0
    0:04.969     1789     (    0    0    1
    0:05.025     1809     N    0    0    0
    0:05.047     1817     )    0    0    1
    0:05.244     1888     (    0    0    2
    0:05.281     1901     t    0    0    1
    0:05.364     1931     )    0    0    2
    0:05.458     1965     (    0    0    0
    0:05.506     1982     p    0    0    0
    0:05.558     2001     )    0    0    0
    0:05.622     2024     (    0    0    1
    0:05.681     2045     A    0    0    0
    0:05.703     2053     )    0    0    1
    0:05.914     2129     (    0    0    2
    0:05.944     2140     t    0    0    4
    0:06.067     2184     t    0    0    4
    0:06.131     2207     )    0    0    2
    0:06.447     2321     (    0    0    0
    0:06.494     2338     p    0    0    0
    0:06.575     2367     )    0    0    0
    0:06.617     2382     (    0    0    1
    0:06.675     2403     N    0    0    0
    0:06.717     2418     )    0    0    1
    0:06.906     2486     (    0    0    2
    0:06.961     2506     t    0    0    4
    0:07.053     2539     t    0    0    4
    0:07.156     2576     )    0    0    2
    0:07.292     2625     (    0    0    0
    0:07.339     2642     p    0    0    0
    0:07.403     2665     )    0    0    0
    0:07.461     2686     (    0    0    1
    0:07.517     2706     N    0    0    0
    0:07.550     2718     )    0    0    1
    0:07.697     2771     (    0    0    2
    0:07.781     2801     t    0    0    4
    0:07.872     2834     t    0    0    4
    0:08.017     2886     )    0    0    2
    0:08.114     2921     (    0    0    0
    0:08.158     2937     p    0    0    0
    0:08.225     2961     )    0    0    0
    0:08.275     2979     (    0    0    1
    0:08.328     2998     N    0    0    0
    0:08.353     3007     )    0    0    1
    0:08.906     3206     (    0    0    0
    0:08.950     3222     p    0    0    0
    0:09.011     3244     )    0    0    0
    0:09.067     3264     (    0    0    1
    0:09.119     3283     N    0    0    0
    0:09.156     3296     )    0    0    1
    0:09.383     3378     (    0    0    2
    0:09.456     3404     t    0    0    0
    0:09.564     3443     )    0    0    2
    0:09.675     3483     (    0    0    0
    0:09.717     3498     p    0    0    0
    0:09.778     3520     )    0    0    0
    0:09.836     3541     (    0    0    1
    0:09.889     3560     N    0    0    0
    0:09.922     3572     )    0    0    1
    0:10.097     3635     (    0    0    2
    0:10.147     3653     t    0    0    4
    0:10.253     3691     t    0    0    4
    0:10.300     3708     )    0    0    2
    0:10.489     3776     (    0    0    0
    0:10.542     3795     p    0    0    0
    0:10.611     3820     )    0    0    0
    0:10.675     3843     (    0    0    1
    0:10.731     3863     N    0    0    0
    0:10.750     3870     )    0    0    1
    0:10.950     3942     (    0    0    2
    0:10.992     3957     t    0    0    4
    0:11.083     3990     t    0    0    4
    0:11.225     4041     )    0    0    2
    0:11.344     4084     (    0    0    0
    0:11.406     4106     p    0    0    0
    0:11.461     4126     )    0    0    0
    0:11.514     4145     (    0    0    1
    0:11.586     4171     N    0    0    0
    0:11.619     4183     )    0    0    1
    0:11.861     4270     (    0    0    2
    0:11.953     4303     t    0    0    0
    0:12.067     4344     )    0    0    2
    0:12.169     4381     (    0    0    0
    0:12.228     4402     p    0    0    0
    0:12.303     4429     )    0    0    0
    0:12.350     4446     (    0    0    1
    0:12.406     4466     N    0    0    0
    0:12.444     4480     )    0    0    1
    0:12.689     4568     (    0    0    2
    0:12.803     4609     t    0    0    0
    0:12.869     4633     )    0    0    2
    0:13.014     4685     (    0    0    0
    0:13.056     4700     p    0    0    0
    0:13.119     4723     )    0    0    0
    0:13.178     4744     (    0    0    1
    0:13.236     4765     N    0    0    0
    0:13.278     4780     )    0    0    1
    0:13.461     4846     (    0    0    2
    0:13.503     4861     t    0    0    4
    0:13.717     4938     t    0    0    4
    0:13.750     4950     )    0    0    2
    0:13.833     4980     (    0    0    0
    0:13.883     4998     p    0    0    0
    0:13.942     5019     )    0    0    0
    0:14.003     5041     (    0    0    1
    0:14.058     5061     N    0    0    0
    0:14.075     5067     )    0    0    1
    0:14.275     5139     (    0    0    2
    0:14.306     5150     t    0    0    4
    0:14.414     5189     t    0    0    4
    0:14.528     5230     )    0    0    2
    0:14.622     5264     (    0    0    0
    0:14.678     5284     p    0    0    0
    0:14.750     5310     )    0    0    0
    0:14.800     5328     (    0    0    1
    0:14.853     5347     N    0    0    0
    0:14.869     5353     )    0    0    1
    0:15.428     5554     (    0    0    0
    0:15.492     5577     p    0    0    0
    0:15.539     5594     )    0    0    0
    0:15.586     5611     (    0    0    1
    0:15.650     5634     N    0    0    0
    0:15.672     5642     )    0    0    1
    0:15.867     5712     (    0    0    2
    0:15.908     5727     t    0    0    4
    0:16.019     5767     t    0    0    4
    0:16.086     5791     )    0    0    2
    0:16.217     5838     (    0    0    0
    0:16.264     5855     p    0    0    0
    0:16.331     5879     )    0    0    0
    0:16.386     5899     (    0    0    1
    0:16.442     5919     N    0    0    0
    0:16.458     5925     )    0    0    1
    0:16.647     5993     (    0    0    2
    0:16.694     6010     t    0    0    4
    0:16.800     6048     t    0    0    4
    0:16.911     6088     )    0    0    2
    0:17.028     6130     (    0    0    0
    0:17.072     6146     p    0    0    0
    0:17.150     6174     )    0    0    0
    0:17.208     6195     (    0    0    1
    0:17.264     6215     N    0    0    0
    0:17.300     6228     )    0    0    1
    0:17.481     6293     (    0    0    2
    0:17.528     6310     t    0    0    4
    0:17.631     6347     t    0    0    4
    0:17.744     6388     )    0    0    2
    0:17.889     6440     (    0    0    0
    0:17.947     6461     p    0    0    0
    0:18.008     6483     )    0    0    0
    0:18.072     6506     (    0    0    1
    0:18.131     6527     N    0    0    0
    0:18.169     6541     )    0    0    1
    0:18.414     6629     (    0    0    2
    0:18.508     6663     t    0    0    0
    0:18.583     6690     )    0    0    2
    0:18.717     6738     (    0    0    0
    0:18.772     6758     p    0    0    0
    0:18.833     6780     )    0    0    0
    0:18.892     6801     (    0    0    1
    0:18.956     6824     N    0    0    0
    0:18.994     6838     )    0    0    1
    0:19.158     6897     (    0    0    2
    0:19.211     6916     t    0    0    4
    0:19.342     6963     t    0    0    4
    0:19.422     6992     )    0    0    2
    0:19.511     7024     (    0    0    0
    0:19.556     7040     p    0    0    0
    0:19.622     7064     )    0    0    0
    0:19.686     7087     (    0    0    1
    0:19.739     7106     N    0    0    0
    0:19.772     7118     )    0    0    1
    0:19.939     7178     (    0    0    2
    0:19.989     7196     t    0    0    4
    0:20.092     7233     t    0    0    4
    0:20.200     7272     )    0    0    2
    0:20.300     7308     (    0    0    0
    0:20.361     7330     p    0    0    0
    0:20.422     7352     )    0    0    0
    0:20.469     7369     (    0    0    1
    0:20.536     7393     N    0    0    0
    0:20.556     7400     )    0    0    1
    0:20.797     7487     (    0    0    2
    0:20.869     7513     t    0    0    0
    0:20.964     7547     )    0    0    2
    0:21.078     7588     (    0    0    0
    0:21.131     7607     p    0    0    0
    0:21.203     7633     )    0    0    0
    0:21.250     7650     (    0    0    1
    0:21.306     7670     N    0    0    0
    0:21.344     7684     )    0    0    1
    0:21.522     7748     (    0    0    2
    0:21.567     7764     t    0    0    4
    0:21.675     7803     t    0    0    4
    0:21.714     7817     )    0    0    2
    0:21.861     7870     (    0    0    0
    0:21.911     7888     p    0    0    0
    0:21.981     7913     )    0    0    0
    0:22.036     7933     (    0    0    1
    0:22.092     7953     N    0    0    0
    0:22.131     7967     )    0    0    1
    0:22.308     8031     (    0    0    2
    0:22.353     8047     t    0    0    4
    0:22.456     8084     t    0    0    4
    0:22.572     8126     )    0    0    2
    0:22.672     8162     (    0    0    0
    0:22.725     8181     p    0    0    0
    0:22.794     8206     )    0    0    0
    0:22.842     8223     (    0    0    1
    0:22.906     8246     N    0    0    0
    0:22.925     8253     )    0    0    1
    0:23.128     8326     (    0    0    2
    0:23.164     8339     t    0    0    4
    0:23.267     8376     t    0    0    4
    0:23.400     8424     )    0    0    2
    0:23.483     8454     (    0    0    0
    0:23.556     8480     p    0    0    0
    0:23.606     8498     )    0    0    0
